영화명,영화형태,국적,개봉극장수,전국매출,전국관객수,서울매출,서울관객수,장르,등급,예측티켓값,개봉연도,개봉월,국내외구분,전국대비서울
명량,장편,한국,1587,135748398910,17613682,33121225810,4163666,사극,15세이상관람가,18571.05037360996,2014,7,국내,23.638816688072374
왕과 사는 남자,장편,한국,1724,162898938670,16880990,34840190620,3494144,사극,12세이상관람가,23252.63880022682,2026,2,국내,20.698691249743053
극한직업,장편,한국,1978,139647979516,16264944,31858660536,3638287,코미디,15세이상관람가,20688.737413435974,2019,1,국내,22.368887344463037
신과함께-죄와 벌,장편,한국,1912,115698654137,14410754,27530825087,3346172,판타지,12세이상관람가,19346.103450209343,2017,12,국내,23.219964756875317
국제시장,장편,한국,966,110828014630,14245998,25842519330,3233946,드라마,12세이상관람가,18745.99848601404,2014,12,국내,22.700733216444366
어벤져스: 엔드게임,장편,미국,2835,122182694160,13934592,33577136860,3597963,액션,12세이상관람가,21128.43565897187,2019,4,해외,25.820368475804674
겨울왕국 2,장편,미국,2648,114810421450,13747792,28824682580,3225974,애니메이션,전체관람가,20123.349113210854,2019,11,해외,23.46539720705696
아바타,장편,미국,912,128447097523,13624328,40547523000,3993374,SF,12세이상관람가,22717.529875137676,2009,12,해외,29.310612604159264
베테랑,장편,한국,1064,105024756250,13395400,26766369950,3290366,액션,15세이상관람가,18892.43335825947,2015,8,국내,24.56340236200487
서울의 봄,장편,한국,2328,127926951712,13128080,29336875104,2956518,드라마,12세이상관람가,23480.79193367764,2023,11,국내,22.520566602275427
도둑들,장편,한국,1072,93665568500,12983330,26089426500,3468906,액션,15세이상관람가,17383.84259355966,2012,7,국내,26.71815320106629
7번방의 선물,장편,한국,787,91431914670,12811206,22800931670,3070053,코미디,15세이상관람가,17197.277654789003,2013,1,국내,23.963809496155164
암살,장편,한국,1519,98463132781,12705700,25306651181,3155960,액션,15세이상관람가,18673.55288713509,2015,7,국내,24.83893055872561
범죄도시2,장편,한국,2498,131293353478,12692959,29072759869,2755760,범죄,15세이상관람가,24924.80488221951,2022,5,국내,21.710934384960982
알라딘,장편,미국,1311,106983620359,12555894,30218911039,3377404,어드벤처,전체관람가,20531.54130536201,2019,5,해외,26.89895279459989
"광해, 왕이 된 남자",장편,한국,810,88900208769,12319542,25192804727,3355700,사극,15세이상관람가,17388.420001953877,2012,9,국내,27.238837287944634
