개봉연도,국내외구분,영화수,관객수,매출액,개봉비율,관객비율,매출비율
2008,국내,96,66745668,437467819820,29.09090909090909,44.34269565720509,44.68492324771588
2009,국내,105,71782225,501960212969,33.33333333333333,44.957902938795996,43.931447480646064
2010,국내,111,69778169,515075147409,32.55131964809384,49.933012297668675,47.77751077541749
2011,국내,129,79159276,587000749500,36.440677966101696,50.28019587758076,48.19627322747135
2012,국내,131,113636195,828515389529,34.473684210526315,59.5318360033903,58.20136626423912
2013,국내,119,128083231,917425018056,25.0,60.60329225893617,59.53899821413794
2014,국내,139,108224811,829932923773,25.09025270758123,50.812668653105476,50.04700958549949
2015,국내,139,105760114,824655386858,29.140461215932913,50.90460137102559,50.17219606452126
2016,국내,154,113233414,902641482620,29.50191570881226,53.287413075086995,52.77484689005946
2017,국내,153,122544213,972865860197,28.228782287822877,54.41843445598189,53.987515784055454
2018,국내,167,98967554,823535433422,31.50943396226415,48.7095700453497,48.141861522349245
2019,국내,181,117959915,991066950388,34.34535104364326,52.369985280054486,52.008501262607744
2020,국내,137,35770097,308765496762,29.52586206896552,70.64072703547187,70.64150455454039
2021,국내,179,17830906,169536419673,31.34851138353765,29.189296293611,28.65360531288521
2022,국내,197,63026960,632459648772,39.08730158730159,55.44564273392207,53.51909828626496
2023,국내,179,59903904,581583700432,37.060041407867494,50.63886828643058,49.69699086312724
2024,국내,184,70527853,667357412670,37.93814432989691,58.877104881965515,58.14144250065346
2025,국내,218,43702938,414439921381,42.00385356454721,43.97653006603039,42.23295613663582
2026,국내,84,32666019,322526785600,36.36363636363637,68.93119486520504,67.84162871306123
