지역,응답자수 (명),5천원 미만 (%),5천원 - 1만원 미만 (%),1만원 - 1만 5천원 미만 (%),1만 5천원 - 2만원 미만 (%),2만원 - 2만 5천원 미만 (%),2만 5천원 - 3만원 미만 (%),3만원 - 3만 5천원 미만 (%),3만 5천원 - 4만원 미만 (%),4만원 - 4만 5천원 미만 (%),4만 5천원 - 5만원 미만 (%),5만원 이상 (%)
서울,585.4,0,2.5,17.1,7.7,19.8,6.1,13.6,4.6,6.8,2,20
부산,179.5,1.4,0.5,33.8,3.3,19.1,1.6,8.7,0.2,11.1,3.5,16.8
대구,106.9,0,3.7,9.5,11.5,16.9,4.2,6.9,14.2,3.7,1.1,28.4
인천,142.7,0,2,16.6,4.7,13.5,13.9,22,9.3,7.9,0.6,9.5
광주,31.7,0,24.5,16.2,9.9,14.4,0.7,14.6,0.4,5.9,0,13.3
대전,35,0,6.7,3,3.6,8.2,0,24.6,0,0,4.5,49.4
울산,48.5,0,0,10.3,0,15.9,3.8,3.2,2.3,0,1.3,63.2
세종,38.7,0,0,5.5,0,52.4,2.1,0,0,19.3,0.6,20.2
경기,737.2,0.1,5.5,16.7,6.1,17.4,3,13.5,5.1,3.3,0.9,28.3
강원,29.1,0,2.6,21.2,9.1,19,0,17.4,0,10.3,0,20.4
충북,30.4,0,0,8.7,20.2,8.3,0,19.6,12.3,5.1,22,4
충남,60.6,0,0,29.4,1.6,14.3,0.3,5.4,2,5.1,16.7,25.1
전북,120.4,0,1.2,19.4,19.2,12.5,16.1,3.6,2.7,14.9,0.8,9.7
전남,26.2,0,1.4,14.6,6.3,18.2,10.1,43.2,0,6.2,0,0
경북,72.5,0,3.5,10.8,20.2,10.6,1,19.7,3.4,4.6,0,26.3
경남,47,0,0,37.7,10.3,39.3,0,3.7,3.6,0,0,5.4
제주,23.8,3.1,4.9,12.1,39.9,16.1,1,4.2,0,0,0,18.6
